시군,시도,시행일,조례번호,출처조문,상태,수집현황
남해군,경남,2026.4.7,2897,제40조 / 제45조,수집,건폐 21종 / 용적 21종
하동군,경남,2026.4.24,2741,제30조 / 제33조,수집,건폐 21종 / 용적 21종
수원시,경기,2025.12.31,4816,제66조 / 제70조,수집,건폐 16종 / 용적 16종
고양시,경기,2025.11.14,2967,제56조 / 제61조,수집,건폐 21종 / 용적 20종
산청군,경남,2025.11.27,2839,제32조 / 제36조,수집,건폐 21종 / 용적 21종
함양군,경남,2026.8.6,2835,제29조 / 제30조,수집,건폐 21종 / 용적 21종
용인시,경기,2025.12.31,2714,제50조 / 제55조,수집,건폐 21종 / 용적 21종
성남시,경기,2026.2.24,4356,제66조 / 제67조,수집,건폐 16종 / 용적 16종
거창군,경남,2025.12.31,3010,제53조 / 제58조,수집,건폐 21종 / 용적 21종
합천군,경남,2026.4.16,2930,제53조 / 제58조,수집,건폐 21종 / 용적 21종
부천시,경기,2026.7.6,4327,제54조 / 제57조,수집,건폐 16종 / 용적 16종
화성시,경기,2026.3.10,2561,제52조 / 제57조,수집,건폐 21종 / 용적 21종
서울특별시,광역,2026.7.13,10139,제44조 / 제48조,수집,건폐 16종 / 용적 16종
안산시,경기,2025.9.19,3019,제51조 / 제56조,수집,건폐 17종 / 용적 17종
부산광역시,광역,2026.4.8,7923,제49조 / 제50조,수집,건폐 17종 / 용적 17종
남양주시,경기,2025.12.29,2485,제41조 / 제47조,수집,건폐 21종 / 용적 21종
대구광역시,광역,2026.5.11,6487,제75조 / 제80조,수집,건폐 21종 / 용적 21종
안양시,경기,2026.3.31,3846,제49조 / 제50조,수집,건폐 12종 / 용적 12종
인천광역시,광역,2026.7.13,7763,제64조 / 제65조,수집,건폐 21종 / 용적 21종
평택시,경기,2026.5.18,2630,제56조 / 제61조,수집,건폐 21종 / 용적 21종
대전광역시,광역,2026.2.13,6595,제45조 / 제50조,수집,건폐 21종 / 용적 21종
시흥시,경기,2026.8.20,2633,제30조 / 제34조,수집,건폐 13종 / 용적 13종
파주시,경기,2025.3.20,2204,제32조 / 제33조,수집,건폐 21종 / 용적 21종
의정부시,경기,2025.9.25,3604,제42조 / 제46조,수집,건폐 16종 / 용적 16종
광주광역시,광역,2025.11.11,6636,제67조 / 제72조,수집,건폐 21종 / 용적 21종
김포시,경기,2025.5.12,2216,제54조 / 제59조,수집,건폐 21종 / 용적 21종
세종특별자치시,광역,2026.2.27,2978,제50조 / 제54조,수집,건폐 21종 / 용적 21종
광주시,경기,2026.4.15,1776,제55조 / 제60조,수집,건폐 21종 / 용적 21종
제주특별자치도,광역,2025.12.24,4164,제60조 / 제61조,수집,건폐 21종 / 용적 21종
광명시,경기,2026.8.5,3402,제41조 / 제42조,수집,건폐 16종 / 용적 16종
군포시,경기,2025.10.10,2335,제49조 / 제53조,수집,건폐 16종 / 용적 16종
하남시,경기,2025.8.11,2452,제50조 / 제53조,수집,건폐 15종 / 용적 15종
