no,용도지역구분,용도지역,건폐율_값,건폐율_단위,건폐율_출처조문,용적률_값,용적률_단위,용적률_출처조문,비고,조례명,조례번호,시행일,조회일,원문URL
1,도시지역-주거,제1종전용주거지역,50,% 이하,제56조제1항제1호,100,% 이하,제61조제1항제1호,,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
2,도시지역-주거,제2종전용주거지역,50,% 이하,제56조제1항제2호,150,% 이하,제61조제1항제2호,,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
3,도시지역-주거,제1종일반주거지역,60,% 이하,제56조제1항제3호,200,% 이하,제61조제1항제3호,시장정비사업구역 400%,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
4,도시지역-주거,제2종일반주거지역,60,% 이하,제56조제1항제4호,250,% 이하,제61조제1항제4호,시장정비사업구역 400%,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
5,도시지역-주거,제3종일반주거지역,50,% 이하,제56조제1항제5호,300,% 이하,제61조제1항제5호,시장정비사업구역 400%,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
6,도시지역-주거,준주거지역,70,% 이하,제56조제1항제6호,500,% 이하,제61조제1항제6호,공동주택 건축 시 제3종일반주거지역 용적률 적용,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
7,도시지역-상업,중심상업지역,90,% 이하,제56조제1항제7호,1500,% 이하,제61조제1항제7호,,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
8,도시지역-상업,일반상업지역,80,% 이하,제56조제1항제8호,1300,% 이하,제61조제1항제8호,,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
9,도시지역-상업,근린상업지역,70,% 이하,제56조제1항제9호,900,% 이하,제61조제1항제9호,,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
10,도시지역-상업,유통상업지역,60,% 이하,제56조제1항제10호,1100,% 이하,제61조제1항제10호,,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
11,도시지역-공업,전용공업지역,70,% 이하,제56조제1항제11호,300,% 이하,제61조제1항제11호,,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
12,도시지역-공업,일반공업지역,70,% 이하,제56조제1항제12호,350,% 이하,제61조제1항제12호,,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
13,도시지역-공업,준공업지역,70,% 이하,제56조제1항제13호,400,% 이하,제61조제1항제13호,,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
14,도시지역-녹지,보전녹지지역,20,% 이하,제56조제1항제14호,80,% 이하,제61조제1항제14호,,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
15,도시지역-녹지,생산녹지지역,20,% 이하,제56조제1항제15호,100,% 이하,제61조제1항제15호,성장관리계획 수립 시 건폐율 30%,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
16,도시지역-녹지,자연녹지지역,20,% 이하,제56조제1항제16호,100,% 이하,제61조제1항제16호,성장관리계획 수립 시 건폐율 30%,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
17,관리지역,보전관리지역,20,% 이하,제56조제1항제17호,80,% 이하,제61조제1항제17호,,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
18,관리지역,생산관리지역,20,% 이하,제56조제1항제18호,80,% 이하,제61조제1항제18호,성장관리계획 수립 시 건폐율 30%,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
19,관리지역,계획관리지역,40,% 이하,제56조제1항제19호,100,% 이하,제61조제1항제19호,성장관리계획 수립 시 건폐율 50% 용적률 125%,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
20,농림지역,농림지역,20,% 이하,제56조제1항제20호,80,% 이하,제61조제1항제20호,성장관리계획 수립 시 건폐율 30%,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
21,자연환경보전지역,자연환경보전지역,20,% 이하,제56조제1항제21호,80,% 이하,제61조제1항제21호,,평택시 도시계획 조례,경기도평택시조례 제2630호,2026-05-18,2026-09-21,https://www.law.go.kr/자치법규/평택시도시계획조례
